lemma	answer_form	part_of_speech	gender	translation_en	pronunciation	category	notes	drillable	source_text	changes
sein		verb		to be			irregular: ich bin / du bist / er ist	yes	sein	
haben		verb		to have			irregular: ich habe / du hast / er hat	yes	haben	
machen		verb		to make / to do			regular	yes	machen	
gehen		verb		to go (on foot)			contrast fahren, which is to go by vehicle	yes	gehen	prompt disambiguated: bare 'to go' also fits fahren
kommen		verb		to come			irregular	yes	kommen	
sehen		verb		to see			irregular: du siehst / er sieht	yes	sehen	
Pizza	die Pizza	noun	f	the pizza		Food	plural: die Pizzas or die Pizzen	yes	die pizza	capitalised
Wurst	die Wurst	noun	f	the sausage		Food	plural: die Wuerste (Würste)	yes	die wurst	capitalised; translation added
Käse	der Käse	noun	m	the cheese		Food	plural rare	yes	der kase	spelling corrected to Käse; capitalised; translation added
Salat	der Salat	noun	m	the salad / the lettuce		Food	plural: die Salate	yes	der salat	capitalised; translation added
Brot	das Brot	noun	n	the bread		Food	plural: die Brote	yes	das brot	capitalised; translation added
Schnitzel	das Schnitzel	noun	n	the schnitzel / the cutlet		Food	plural: die Schnitzel, unchanged	yes	das schnitzel	capitalised; translation added
Zucker	der Zucker	noun	m	the sugar		Food	no plural in normal use	yes	zucker	gender added: der; capitalised; translation added
Tee	der Tee	noun	m	the tea		Food	plural: die Tees	yes	tee	gender added: der; capitalised; translation added
Kaffee	der Kaffee	noun	m	the coffee		Food	plural: die Kaffees	yes	kaffee	gender added: der; capitalised; translation added
Keks	der Keks	noun	m	the biscuit / the cookie		Food	plural: die Kekse; the source gave the plural form	yes	kekse	gender added: der; singular used as lemma; translation added
Milch	die Milch	noun	f	the milk		Food	no plural in normal use	yes	milch	gender added: die; capitalised; translation added
Wasser	das Wasser	noun	n	the water		Food	plural rare	yes	wasser	gender added: das; capitalised; translation added
Restaurant	das Restaurant	noun	n	the restaurant		Places	plural: die Restaurants	yes	das restaurant	capitalised; translation added
Hotel	das Hotel	noun	n	the hotel		Places	plural: die Hotels	yes	das hotel	capitalised; translation added
Café	das Café	noun	n	the cafe		Places	plural: die Cafés	yes	das café	capitalised; translation added
Stadt	die Stadt	noun	f	the city / the town		Places	plural: die Staedte (Städte)	yes	die stadt	capitalised; translation added
Park	der Park	noun	m	the park	pah-k	Places	plural: die Parks	yes	der park	capitalised; translation added
Bahnhof	der Bahnhof	noun	m	the railway station		Places	plural: die Bahnhoefe (Bahnhöfe)	yes	der bahnhof	capitalised; translation added
Hauptbahnhof	der Hauptbahnhof	noun	m	the central station		Places	Haupt- means main; plural: die Hauptbahnhoefe	yes	hauptbahnhof	gender added: der; capitalised
U-Bahn	die U-Bahn	noun	f	the underground / the subway	oo-baa-hn	Places	short for Untergrundbahn; plural: die U-Bahnen	yes	die U-bahn	capitalisation corrected to U-Bahn; translation added
Bibliothek	die Bibliothek	noun	f	the library		Places	plural: die Bibliotheken	yes	die bibliotek	spelling corrected to Bibliothek; capitalised; translation added
Bäckerei	die Bäckerei	noun	f	the bakery	beck-a-rye	Places	plural: die Baeckereien (Bäckereien)	yes	die bäckerei	capitalised; translation added
Haus	das Haus	noun	n	the house		Places	plural: die Haeuser (Häuser)	yes	das Haus	
Tisch	der Tisch	noun	m	the table		Objects	plural: die Tische	yes	der Tisch	
Buch	das Buch	noun	n	the book		Objects	plural: die Buecher (Bücher)	yes	buch	gender added: das; capitalised
Lehrer	der Lehrer	noun	m	the teacher (male)		Professions	plural: die Lehrer	yes	lehrer / lehrerin	split into male and female entries; capitalised
Lehrerin	die Lehrerin	noun	f	the teacher (female)		Professions	plural: die Lehrerinnen	yes	lehrer / lehrerin	split into male and female entries; capitalised
Bäcker	der Bäcker	noun	m	the baker (male)	becker	Professions	plural: die Baecker (Bäcker)	yes	bäcker / bäckerin	split into male and female entries; capitalised
Bäckerin	die Bäckerin	noun	f	the baker (female)		Professions	plural: die Baeckerinnen	yes	bäcker / bäckerin	split into male and female entries; capitalised
Verkäufer	der Verkäufer	noun	m	the shop assistant (male)		Professions	plural: die Verkaeufer (Verkäufer)	yes	verkäufer / verkäuferin	split into male and female entries; capitalised
Verkäuferin	die Verkäuferin	noun	f	the shop assistant (female)		Professions	plural: die Verkaeuferinnen	yes	verkäufer / verkäuferin	split into male and female entries; capitalised
Musiker	der Musiker	noun	m	the musician (male)		Professions	plural: die Musiker	yes	musiker / musikerin	split into male and female entries; capitalised
Musikerin	die Musikerin	noun	f	the musician (female)		Professions	plural: die Musikerinnen	yes	musiker / musikerin	split into male and female entries; capitalised
frisch		adjective		fresh				yes	frisch	
billig		adjective		cheap				yes	billig	
nett		adjective		nice / kind (of a person)				yes	nett	prompt disambiguated: the source glossed both nett and lecker as 'nice'
lecker		adjective		tasty / delicious (of food)				yes	lecker	translation corrected: the source said 'nice', which collided with nett
neu		adjective		new				yes	neu	
schnell		adjective		fast / quick				yes	schnell	
satt		adjective		full (having eaten enough)			only used of a person after eating; contrast voll, which is full of contents	yes	satt	prompt disambiguated: bare 'full' would also fit voll
hungrig		adjective		hungry				yes	hungrig	
groß		adjective		big / large				yes	groß	
alt		adjective		old				yes	alt	
schön		adjective		beautiful / lovely	sh-or-n, where the or is long		contrast schon, without the umlaut, which means already	yes	schön	translation added: the source had only a pronunciation hint
klein		adjective		small				yes	klein	
gut		adjective		good				yes	gut	
links		adverb		on the left		Directions		yes	links	
rechts		adverb		on the right		Directions		yes	rechts	
hier		adverb		here		Directions		yes	hier	the source listed hier twice, under Directions and under Adverbs; merged
da drüben		adverb		over there		Directions		yes	da drüben	
Mama	meine Mama	noun	f	my mum / my mummy		People	plain article form: die Mama	yes	meine mama	translation added; possessive is the answer form
Papa	mein Papa	noun	m	my dad / my daddy		People	plain article form: der Papa	yes	mein papa	translation added; possessive is the answer form
Schwester	meine Schwester	noun	f	my sister		People	plain article form: die Schwester; plural: die Schwestern	yes	meine schwester	translation added; possessive is the answer form
Bruder	mein Bruder	noun	m	my brother		People	plain article form: der Bruder; plural: die Brueder (Brüder)	yes	mein bruder	translation added; possessive is the answer form
Tochter	meine Tochter	noun	f	my daughter		People	plain article form: die Tochter; plural: die Toechter (Töchter)	yes	meine tochter	translation added; possessive is the answer form
Sohn	mein Sohn	noun	m	my son	zorn	People	plain article form: der Sohn; plural: die Soehne (Söhne)	yes	mein sohn	translation added; possessive is the answer form
Mann	mein Mann	noun	m	my husband		People	der Mann on its own means the man; plural: die Maenner (Männer)	yes	mein mann	possessive is the answer form
Frau	meine Frau	noun	f	my wife		People	die Frau on its own means the woman; plural: die Frauen	yes	meine frau	possessive is the answer form
Kind	das Kind	noun	n	the child		People	plural: die Kinder	yes	kind	gender added: das; capitalised
freut mich		phrase		nice to meet you		Introductions	literally 'pleases me'; short for es freut mich	yes	freut mich	
ich komme aus Berlin		phrase		I come from Berlin		Introductions	pattern: ich komme aus plus a place	yes	ich komme aus Berlin	translation added
ich bin David, und du?		phrase		I am David, and you?		Introductions	du is informal; use und Sie? when being formal	yes	ich bin David, und du?	translation added
bitte		phrase		please		Introductions	also means 'you are welcome' and 'here you are'	yes	bitte	translation added; note records the other two meanings
danke		phrase		thank you		Introductions		yes	danke	translation added
tschüss		phrase		bye (informal)		Introductions		yes	tschüss	translation added, marked informal
hallo		phrase		hello		Introductions		yes	hallo	translation added
ja		phrase		yes		Introductions		yes	ja	translation added
nein		phrase		no		Introductions		yes	nein	translation added
der		article	m	the (masculine)				no	der	prompt disambiguated: the source glossed der, die and das all as 'the'
die		article	f	the (feminine, and all plurals)				no	die	prompt disambiguated
das		article	n	the (neuter)				no	das	prompt disambiguated
ein		article		a / an (before masculine and neuter)				no	ein	prompt disambiguated
eine		article		a / an (before feminine)				no	eine	prompt disambiguated
ich		pronoun		I				no	ich	
du		pronoun		you (singular, informal)				no	du	prompt disambiguated from Sie
er		pronoun		he				no	er	
sie		pronoun		she / they			lowercase sie; capitalised Sie means you, formal	no	sie / Sie (formal)	split from Sie; the source gloss omitted the formal 'you' entirely
Sie		pronoun		you (formal)			always capitalised	no	sie / Sie (formal)	split from sie; the source gloss omitted this meaning
wir		pronoun		we				no	wir	
